"receita";"uniorcam";"arrecadado_janeiro";"arrecadado_fevereiro";"arrecadado_marco";"arrecadado_abril";"arrecadado_maio";"arrecadado_junho";"arrecadado_julho";"arrecadado_agosto";"arrecadado_setembro";"arrecadado_outubro";"arrecadado_novembro";"arrecadado_dezembro";"meta_1bim";"meta_2bim";"meta_3bim";"meta_4bim";"meta_5bim";"meta_6bim";"caracteristica_peculiar_receita";"recurso_vinculado";"complemento_recurso_vinculado";"exercicio_base"
"00000111303400000000";"0201";0;0;0;0;0;0;0;0;0;0;464,18;0;0;0;0;0;0;0;0;0;NA;2018
"00000111303410000000";"0201";0;0;0;0;0;0;0;0;0;0;464,18;0;0;0;0;0;0;0;0;0;NA;2018
"00000111303410100000";"0201";0;0;0;0;0;0;0;0;0;0;464,18;0;0;0;0;0;0;0;0;0;NA;2018
"00000111303410101000";"0201";0;0;0;0;0;0;0;0;0;0;278,5;0;0;0;0;0;0;0;0;1;NA;2018
"00000111303410102000";"0201";0;0;0;0;0;0;0;0;0;0;116,05;0;0;0;0;0;0;0;0;20;NA;2018
"00000111303410103000";"0201";0;0;0;0;0;0;0;0;0;0;69,63;0;0;0;0;0;0;0;0;40;NA;2018
"00000111800000000000";"0201";37856,37;36827,04;83181,39;112692,92;237475,47;583839,97;88085,21;82451,43;125098,34;176459,47;56135,34;69361,42;179819,49;189816,79;212486,96;182454,17;225763,08;691491,84;0;0;NA;2018
"00000111801000000000";"0201";16173,07;17560,99;60933,81;90447,88;209383,98;562397,87;57478,37;53600,79;90913,1;144874,45;25896,29;38604,91;136119,87;146117,17;168787,34;138754,55;182063,46;617792,26;0;0;NA;2018
"00000111801100000000";"0201";2183,07;2699,99;42541,81;43803,88;76458,32;186323,87;13040,27;9656,79;13702,1;3874,45;8223,29;12555,91;62117,61;72114,91;94785,08;64752,29;101241,2;119359,91;0;0;NA;2018
"00000111801110000000";"0201";0;0;31046,01;38366,08;65081;181198,51;4567,7;6703,89;5967,44;1113,4;2067,16;4882,09;45900,57;55897,87;78536,61;48389,74;84753,79;102879,59;0;0;NA;2018
