"uniorcam";"funcao";"subfuncao";"programa";"obsoleto1";"projativ";"elemento";"recurso_vinculado";"dotacao_inicial";"atualizacao_monetaria";"credito_suplementar";"credito_especial";"credito_extraordinario";"reducao_dotacao";"suplementacao_recurso_vinculado";"reducao_recurso_vinculado";"empenhado";"liquidado";"pago";"limitado";"recomposto";"previsao_ate_termino";"complemento_recurso_vinculado";"exercicio_base"
"0203";4;122;2;"000";2007;"339033";1;5000;0;0;0;0;5000;0;0;0;0;0;0;0;0;NA;2018
"0203";4;122;2;"000";2007;"339039";1;10000;0;0;0;0;10000;0;0;0;0;0;0;0;0;NA;2018
"0203";4;124;1;"000";2008;"319011";1;65000;0;600;0;0;746,83;0;0;64853,17;64853,17;64853,17;0;0;64853,17;NA;2018
"0203";4;124;1;"000";2008;"319016";1;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0203";4;124;1;"000";2008;"319094";1;500;0;0;0;0;500;0;0;0;0;0;0;0;0;NA;2018
"0203";4;124;1;"000";2008;"319113";1;20000;0;137,78;0;0;13400;0;0;6737,78;6737,78;6737,78;0;0;6737,78;NA;2018
"0203";4;124;1;"000";2008;"339014";1;12000;0;0;0;0;7000;0;0;4386,05;4386,05;4386,05;0;0;5000;NA;2018
"0203";4;124;1;"000";2008;"339030";1;1000;0;0;0;0;0;0;0;374;374;374;0;0;1000;NA;2018
"0203";4;124;1;"000";2008;"339033";1;12000;0;0;0;0;5000;0;0;5425,7;5425,7;5425,7;0;0;7000;NA;2018
"0203";4;124;1;"000";2008;"339039";1;8000;0;0;0;0;1986;0;0;6014;6014;6014;0;0;6014;NA;2018
"0203";4;124;1;"000";2008;"339046";1;3500;0;0;0;0;1000;0;0;2362,5;2362,5;2362,5;0;0;2500;NA;2018
"0203";4;124;1;"000";2008;"449052";1;5000;0;5000;0;0;6400;0;0;1800;1800;1800;0;0;3600;NA;2018
"0204";8;243;11;"000";17;"335041";1050;0;0;0;9202;0;0;0;0;9202;9202;9202;0;0;9202;NA;2018
"0204";8;243;11;"000";17;"445041";1050;0;0;0;1491;0;0;0;0;1491;1491;1491;0;0;1491;NA;2018
"0204";8;243;11;"000";2009;"319011";1;94000;0;18200;0;0;2038,67;0;0;110161,33;110161,33;110161,33;0;0;110161,33;NA;2018
"0204";8;243;11;"000";2009;"319013";1;18800;0;3101,6;0;0;0;0;0;21901,6;21901,6;21901,6;0;0;21901,6;NA;2018
"0204";8;243;11;"000";2009;"319094";1;500;0;2000;0;0;540;0;0;1960;1960;1960;0;0;1960;NA;2018
"0204";8;243;11;"000";2009;"339014";1;12000;0;0;0;0;6953,84;0;0;5046,16;5046,16;5046,16;0;0;5046,16;NA;2018
"0204";8;243;11;"000";2009;"339030";1;3000;0;0;0;0;964,5;0;0;2035,5;2035,5;2035,5;0;0;2035,5;NA;2018
"0204";8;243;11;"000";2009;"339033";1;12000;0;0;0;0;10778,65;0;0;1221,35;1221,35;1221,35;0;0;1221,35;NA;2018
"0204";8;243;11;"000";2009;"339036";1;1000;0;0;0;0;1000;0;0;0;0;0;0;0;0;NA;2018
"0204";8;243;11;"000";2009;"339039";1;10000;0;0;0;0;2000;0;0;7091,27;7091,27;7091,27;0;0;8000;NA;2018
"0204";8;243;11;"000";2009;"339092";1;0;0;265;265;0;0;0;0;265;265;265;0;0;530;NA;2018
"0204";8;243;11;"000";2009;"339093";1;6000;0;0;0;0;1780;0;0;3622;3622;3622;0;0;4220;NA;2018
"0204";8;243;11;"000";2009;"449052";1;2400;0;0;0;0;1347;0;0;1053;1053;1053;0;0;1053;NA;2018
"0301";4;122;1;"000";2010;"319004";1;46800;0;4783,94;0;0;0;0;0;51583,94;51583,94;51583,94;0;0;51583,94;NA;2018
"0301";4;122;1;"000";2010;"319011";1;288000;0;64637,6;0;0;4000;0;0;348637,6;348637,6;348637,6;0;0;348637,6;NA;2018
"0301";4;122;1;"000";2010;"319013";1;20000;0;632,01;0;0;4300;0;0;16332,01;16332,01;16332,01;0;0;16332,01;NA;2018
"0301";4;122;1;"000";2010;"319016";1;500;0;500;0;0;0;0;0;520,61;520,61;520,61;0;0;1000;NA;2018
"0301";4;122;1;"000";2010;"319094";1;500;0;3000;0;0;0;0;0;2933,23;2933,23;2933,23;0;0;3500;NA;2018
"0301";4;122;1;"000";2010;"319113";1;32000;0;6507,45;0;0;268,52;0;0;38238,93;38238,93;38238,93;0;0;38238,93;NA;2018
"0301";4;122;1;"000";2010;"339014";1;10000;0;1200;0;0;1080;0;0;10110,34;10110,34;10110,34;0;0;10120;NA;2018
"0301";4;122;1;"000";2010;"339030";1;10000;0;4000;0;0;513;0;0;12115,59;12115,59;12115,59;0;0;13487;NA;2018
"0301";4;122;1;"000";2010;"339033";1;10000;0;1000;0;0;3732;0;0;7011,24;7011,24;7011,24;0;0;7268;NA;2018
"0301";4;122;1;"000";2010;"339036";1;5000;0;5300;0;0;1141,6;0;0;8853,5;8853,5;8853,5;0;0;9158,4;NA;2018
"0301";4;122;1;"000";2010;"339039";1;50000;0;48504;0;0;29452,14;0;0;68061,46;68061,46;68061,46;0;0;69051,86;NA;2018
"0301";4;122;1;"000";2010;"339046";1;27200;0;1908;0;0;0;0;0;29108;29108;29108;0;0;29108;NA;2018
"0301";4;122;1;"000";2010;"449052";1;8000;0;25091;0;0;205;0;0;32886;32886;32886;0;0;32886;NA;2018
"0301";4;126;1;"000";2011;"339030";1;10000;0;575;0;0;7600;0;0;2944,9;2944,9;2944,9;0;0;2975;NA;2018
"0301";4;126;1;"000";2011;"339035";1;10000;0;0;0;0;1610,27;0;0;7916,33;7916,33;7916,33;0;0;8389,73;NA;2018
